Date,Temperature_High,Temperature_Low,Precipitation,Wind_Speed,Visibility,Weather_Condition
2017-07-01,94.5,80.1,0.0,3.0,10.0,Clear
2017-07-02,92.6,76.2,0.0,16.7,9.3,Clear
2017-07-03,84.6,66.9,0.0,5.2,9.9,Clear
2017-07-04,79.9,60.8,0.0,1.9,9.9,Clear
2017-07-05,103.7,89.8,0.0,38.2,9.8,Windy
2017-07-06,92.8,80.8,0.12,16.1,9.7,Clear
2017-07-07,83.4,68.5,0.0,14.9,9.9,Clear
2017-07-08,76.4,68.0,0.0,9.7,9.4,Clear
2017-07-09,90.6,71.2,0.0,7.6,9.9,Clear
2017-07-10,85.3,72.6,0.0,17.2,10.0,Clear
2017-07-11,93.9,74.5,0.0,4.0,9.8,Clear
2017-07-12,84.8,72.2,0.0,7.2,9.7,Clear
2017-07-13,96.1,79.6,0.0,10.9,9.8,Clear
2017-07-14,81.1,66.3,0.0,23.1,10.0,Windy
2017-07-15,73.1,52.9,0.0,7.0,9.7,Clear
2017-07-16,90.7,79.7,0.0,5.5,9.8,Clear
2017-07-17,89.4,72.9,0.0,9.0,9.5,Clear
2017-07-18,96.3,84.8,0.0,6.4,9.7,Clear
2017-07-19,59.8,43.1,0.0,6.3,9.9,Clear
2017-07-20,78.1,53.7,0.0,9.5,9.3,Clear
2017-07-21,85.7,79.1,0.0,8.7,9.9,Clear
2017-07-22,110.3,96.2,0.0,10.4,9.2,Clear
2017-07-23,93.0,83.8,0.0,14.6,9.8,Clear
2017-07-24,76.0,58.0,0.18,32.0,9.5,Windy
2017-07-25,85.8,73.3,0.0,8.4,9.8,Clear
2017-07-26,80.8,63.2,0.0,3.7,10.0,Clear
2017-07-27,76.4,63.0,0.0,6.2,9.7,Clear
2017-07-28,89.4,67.6,0.0,37.8,9.5,Windy
2017-07-29,86.2,67.3,0.0,19.8,9.6,Clear
2017-07-30,74.6,56.5,0.02,18.9,9.5,Clear
2017-07-31,84.7,75.7,0.0,2.8,9.9,Clear
2017-08-01,89.1,68.4,0.0,4.1,9.8,Clear
2017-08-02,73.6,57.8,0.0,3.8,9.9,Clear
2017-08-03,73.7,57.3,0.0,14.9,9.8,Clear
2017-08-04,67.5,52.6,0.0,3.2,9.4,Clear
2017-08-05,86.0,72.1,0.26,13.8,7.8,Clear
2017-08-06,72.3,64.9,0.0,3.7,9.4,Clear
2017-08-07,75.3,57.1,0.1,8.7,9.1,Clear
2017-08-08,68.6,48.2,0.0,17.2,9.7,Clear
2017-08-09,82.7,66.4,0.0,12.1,9.8,Clear
2017-08-10,117.8,98.0,0.0,13.3,9.9,Clear
2017-08-11,80.5,69.8,0.06,1.3,9.9,Clear
2017-08-12,82.0,71.5,0.0,6.4,10.0,Clear
2017-08-13,70.7,54.7,0.08,31.2,8.0,Windy
2017-08-14,84.0,79.1,0.0,9.6,9.9,Clear
2017-08-15,69.5,46.2,0.0,5.6,9.7,Clear
2017-08-16,70.3,61.6,0.0,15.8,9.8,Clear
2017-08-17,63.1,38.9,0.0,19.5,10.0,Clear
2017-08-18,68.8,51.6,0.0,14.4,9.9,Clear
2017-08-19,62.5,48.1,0.0,23.9,10.0,Windy
2017-08-20,60.7,38.5,0.0,2.1,9.8,Clear
2017-08-21,72.6,57.3,0.0,9.1,9.8,Clear
2017-08-22,80.8,55.1,0.0,1.0,9.4,Clear
2017-08-23,68.8,52.8,0.0,5.1,9.8,Clear
2017-08-24,81.7,62.2,0.0,10.5,9.9,Clear
2017-08-25,78.3,66.8,0.0,8.2,9.7,Clear
2017-08-26,73.5,55.7,0.0,7.1,9.7,Clear
2017-08-27,67.7,51.4,0.0,19.9,9.5,Clear
2017-08-28,71.5,54.9,0.0,7.5,9.8,Clear
2017-08-29,52.9,40.2,0.0,18.3,9.7,Clear
2017-08-30,78.3,63.3,0.08,3.8,8.7,Clear
2017-08-31,61.6,48.2,0.0,13.0,10.0,Clear
2017-09-01,83.0,70.1,0.0,9.7,10.0,Clear
2017-09-02,54.4,46.5,0.0,4.7,9.7,Clear
2017-09-03,82.0,77.2,0.0,23.1,9.9,Windy
2017-09-04,67.7,54.2,0.01,10.6,9.5,Clear
2017-09-05,59.1,44.7,0.0,11.2,9.9,Clear
2017-09-06,67.6,47.7,0.0,9.0,9.9,Clear
2017-09-07,58.7,36.4,0.0,16.2,9.8,Clear
2017-09-08,64.8,44.9,0.0,4.0,9.9,Clear
2017-09-09,59.4,48.2,0.0,9.3,9.8,Clear
2017-09-10,45.8,28.9,0.0,3.8,9.7,Clear
2017-09-11,69.3,60.9,0.0,26.6,10.0,Windy
2017-09-12,63.1,49.5,0.0,20.5,9.6,Windy
2017-09-13,38.8,28.3,0.0,8.4,9.4,Clear
2017-09-14,63.3,50.6,0.0,13.0,9.4,Clear
2017-09-15,48.6,31.0,0.0,1.8,9.8,Clear
2017-09-16,74.6,51.8,0.0,9.1,9.8,Clear
2017-09-17,71.6,55.7,0.0,13.2,10.0,Clear
2017-09-18,74.5,54.2,0.0,1.4,9.5,Clear
2017-09-19,62.3,58.1,0.0,23.9,9.4,Windy
2017-09-20,45.9,39.5,0.0,8.0,9.9,Clear
2017-09-21,70.5,62.7,0.0,10.9,9.9,Clear
2017-09-22,49.3,34.6,0.0,16.1,10.0,Clear
2017-09-23,50.0,37.8,0.01,2.1,9.6,Clear
2017-09-24,55.8,41.3,0.0,8.6,10.0,Clear
2017-09-25,56.0,42.1,0.0,4.4,9.9,Clear
2017-09-26,62.4,35.6,0.0,6.5,9.7,Clear
2017-09-27,61.9,45.3,0.0,3.5,9.8,Clear
2017-09-28,56.4,45.5,0.0,3.8,9.9,Clear
2017-09-29,48.7,39.1,0.22,24.7,9.2,Windy
2017-09-30,63.4,48.0,0.0,3.9,9.9,Clear
2017-10-01,50.2,38.6,0.0,15.9,9.1,Clear
2017-10-02,72.7,64.7,0.02,12.5,9.9,Clear
2017-10-03,47.2,36.5,0.23,8.7,7.5,Clear
2017-10-04,44.3,30.5,0.0,3.7,9.7,Clear
2017-10-05,44.9,32.5,0.0,9.0,9.9,Clear
2017-10-06,59.1,47.4,0.0,12.6,9.9,Clear
2017-10-07,46.5,33.0,0.0,13.2,9.9,Clear
2017-10-08,34.0,22.3,0.0,8.6,10.0,Clear
2017-10-09,44.1,25.3,0.0,12.2,9.9,Clear
2017-10-10,64.0,46.2,0.0,7.1,10.0,Clear
2017-10-11,50.8,35.4,0.01,11.9,9.9,Clear
2017-10-12,64.5,52.4,0.02,12.7,9.4,Clear
2017-10-13,26.1,9.3,0.0,18.7,9.9,Clear
2017-10-14,43.6,38.0,0.0,6.3,9.9,Clear
2017-10-15,44.9,25.7,0.0,9.9,9.4,Clear
2017-10-16,54.5,46.9,0.16,18.1,9.3,Clear
